imdb_id,title,release_date,original_language,genres,runtime,vote_average,overview,primaryName,primaryProfession
tt0076706,Short Eyes,1977-09-28,en,['Drama'],100,6.879,"A young man who is charged with child molestation is placed in New York City’s infamous Tombs prison. When the other inmates in his cell block find out what he is charged with, life becomes extremely difficult for him.",José Pérez,"actor,soundtrack"
tt0084182,Julie Darling,1983-03-01,en,"['Drama', 'Horror', 'Thriller']",100,6.738,A teenage girl whose inaction caused her mother's death arranges a similarly gruesome fate for her stepmother and brother.,Anthony Franciosa,"actor,archive_footage"
tt0084182,Julie Darling,1983-03-01,en,"['Drama', 'Horror', 'Thriller']",100,6.738,A teenage girl whose inaction caused her mother's death arranges a similarly gruesome fate for her stepmother and brother.,Sybil Danning,"actress,producer,writer"
tt0111546,An Unforgettable Summer,1994-06-15,fr,"['Drama', 'Romance', 'War']",82,6.0,"In 1925 Romania, young Marie-Therese Von Debretsy refuses the flirtatious advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a brutally bleak and dangerous outpost on the Bulgarian/Romanian frontier where both their relationship and humanity are severely tested.",Kristin Scott Thomas,"actress,director,writer"
tt0111546,An Unforgettable Summer,1994-06-15,fr,"['Drama', 'Romance', 'War']",82,6.0,"In 1925 Romania, young Marie-Therese Von Debretsy refuses the flirtatious advances of her husband's commanding officer. As a result, the cosmopolitan family is reassigned to a brutally bleak and dangerous outpost on the Bulgarian/Romanian frontier where both their relationship and humanity are severely tested.",Claudiu Bleont,actor
tt0085187,My Other Husband,1983-09-21,fr,['Comedy'],110,6.0,A woman leaves her husband and marries another man without divorcing the first.,Miou-Miou,"actress,writer,soundtrack"
tt0085187,My Other Husband,1983-09-21,fr,['Comedy'],110,6.0,A woman leaves her husband and marries another man without divorcing the first.,Roger Hanin,"actor,writer,director"
tt0071093,Abigail Leslie Is Back in Town,1975-09-01,en,['Drama'],96,6.2,"Abigail Leslie has been away for years but has now returned to the small town of Baypoint, where her sexual appetite made her infamous. Abigail is a woman who is serious about her carnal pursuits, and upon her return she immediately re-establishes her pursuit of the flesh of a lonely tomboy who has a longing for her brother, a repressed housewife who harbors a hidden love of the ladies, and a troubled husband and wife, Abigail having seduced the husband prior to her departure years earlier.",Mary Mendum,actress
tt0071093,Abigail Leslie Is Back in Town,1975-09-01,en,['Drama'],96,6.2,"Abigail Leslie has been away for years but has now returned to the small town of Baypoint, where her sexual appetite made her infamous. Abigail is a woman who is serious about her carnal pursuits, and upon her return she immediately re-establishes her pursuit of the flesh of a lonely tomboy who has a longing for her brother, a repressed housewife who harbors a hidden love of the ladies, and a troubled husband and wife, Abigail having seduced the husband prior to her departure years earlier.",Jennifer Jordan,"actress,producer,assistant_director"
tt0078792,Arabian Adventure,1979-07-08,en,"['Fantasy', 'Science Fiction', 'Family']",98,6.149,"An evil caliph (Christopher Lee) offers his daughter’s hand in marriage to a prince if he can complete a perilous quest for a magical rose. Helped by a young boy and a magic carpet, Prince Hasan (Oliver Tobias), has to overcome genies, fire breathing monsters and treacherous swamps to reach his prize and claim the hand of the Princess Zuleira (Emma Samms).",Christopher Lee,"actor,miscellaneous,producer"
tt0078792,Arabian Adventure,1979-07-08,en,"['Fantasy', 'Science Fiction', 'Family']",98,6.149,"An evil caliph (Christopher Lee) offers his daughter’s hand in marriage to a prince if he can complete a perilous quest for a magical rose. Helped by a young boy and a magic carpet, Prince Hasan (Oliver Tobias), has to overcome genies, fire breathing monsters and treacherous swamps to reach his prize and claim the hand of the Princess Zuleira (Emma Samms).",Milo O'Shea,"actor,soundtrack,archive_footage"
tt0078898,Boulevard Nights,1979-03-23,en,['Drama'],102,7.208,"A focus on life in a gang, Boulevard Nights portrays the dangers of street violence. Richard Yniguez plays a young Chicano who tries to get out of the gang, but he keeps finding himself drawn back into it.",Richard Yniguez,"actor,director,miscellaneous"
tt0078898,Boulevard Nights,1979-03-23,en,['Drama'],102,7.208,"A focus on life in a gang, Boulevard Nights portrays the dangers of street violence. Richard Yniguez plays a young Chicano who tries to get out of the gang, but he keeps finding himself drawn back into it.",Danny De La Paz,"actor,producer,casting_department"
tt0102933,Sins of the Mother,1991-02-19,en,"['Drama', 'TV Movie']",93,6.8,"A charismatic Real Estate agent, Kevin Coe, is publicly proud of his mother, a prominent socialite, but privately he must put up with her constant belittlements and taunts. And while his latest girlfriend starts discovering the depths of his anguish, no one connects him with a long series of violent rapes that have been troubling the area.",Elizabeth Montgomery,"actress,miscellaneous,soundtrack"
tt0102933,Sins of the Mother,1991-02-19,en,"['Drama', 'TV Movie']",93,6.8,"A charismatic Real Estate agent, Kevin Coe, is publicly proud of his mother, a prominent socialite, but privately he must put up with her constant belittlements and taunts. And while his latest girlfriend starts discovering the depths of his anguish, no one connects him with a long series of violent rapes that have been troubling the area.",Dale Midkiff,"actor,producer,soundtrack"
tt0076138,Heroes,1977-11-04,en,"['Drama', 'Comedy', 'Romance']",112,6.5,A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.,Henry Winkler,"actor,producer,writer"
tt0076138,Heroes,1977-11-04,en,"['Drama', 'Comedy', 'Romance']",112,6.5,A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.,Sally Field,"actress,producer,director"
tt0088952,Crystal Heart,1986-02-01,en,"['Drama', 'Music', 'Romance']",103,6.588,"A 22 year old man who has lived inside a crystal room because of a rare illness, meets an up and coming rock star, and the two fall in love.",Lee Curreri,"actor,composer,sound_department"
tt0088952,Crystal Heart,1986-02-01,en,"['Drama', 'Music', 'Romance']",103,6.588,"A 22 year old man who has lived inside a crystal room because of a rare illness, meets an up and coming rock star, and the two fall in love.",Tawny Kitaen,"actress,producer,archive_footage"
tt0090080,Stone Pillow,1985-11-05,en,"['Drama', 'TV Movie']",100,6.0,"A homeless woman named Florabelle becomes the unwitting guide to the streets for a New York social worker named Carrie who thinks she has lessons to offer the down-and-out clients she serves at the homeless shelter. Soon, however, Carrie realizes that she's the one who has much to learn.",Lucille Ball,"producer,actress,production_manager"
tt0090080,Stone Pillow,1985-11-05,en,"['Drama', 'TV Movie']",100,6.0,"A homeless woman named Florabelle becomes the unwitting guide to the streets for a New York social worker named Carrie who thinks she has lessons to offer the down-and-out clients she serves at the homeless shelter. Soon, however, Carrie realizes that she's the one who has much to learn.",Daphne Zuniga,"actress,producer,director"
tt0078881,Bloody Kids,1980-03-22,en,"['Drama', 'TV Movie']",91,6.4,"The slender premise springs from the actions of two listless 11-year-old boys, the cold, manipulative Leo, and his weaker, more impressionable friend, Mike. Contemptuous of the fallible police force (Mike has already filched a police hat from an accident scene), the boys arrange a staged knife fight outside a football stadium with the aid of a bag of stage blood and a real blade.",Derrick O'Connor,"actor,director,writer"
tt0078881,Bloody Kids,1980-03-22,en,"['Drama', 'TV Movie']",91,6.4,"The slender premise springs from the actions of two listless 11-year-old boys, the cold, manipulative Leo, and his weaker, more impressionable friend, Mike. Contemptuous of the fallible police force (Mike has already filched a police hat from an accident scene), the boys arrange a staged knife fight outside a football stadium with the aid of a bag of stage blood and a real blade.",Gary Holton,"actor,archive_footage"
