imdb_id,production_countries,genres,budget,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count,production_companies_name,actor,director,poster_url
tt0091750,['US'],"['Crime', 'Drama', 'Mystery']",0,en,Perry Mason: The Case of the Shooting Star,"An actor rigs a fake shooting on TV with the connivance of his friend, the show's host, but the practical joke goes wrong when the gun turns out to contain a live round.",2.913,/vjOTJ41aWGz2BhjiFnsbdj00rk2.jpg,1986-11-08,0,120,['en'],Released,Perry Mason: The Case of the Shooting Star,6.9,9,"['Viacom Productions', 'Dean Hargrove Productions', 'InterMedia Entertainment Company', 'Strathmore Productions']","Raymond Burr, Barbara Hale",Ron Satlof,https://image.tmdb.org/t/p/original/vjOTJ41aWGz2BhjiFnsbdj00rk2.jpg
tt0095855,['US'],"['Crime', 'Mystery', 'Drama', 'TV Movie']",0,en,Perry Mason: The Case of the Lady in the Lake,"A woman suddenly disappears after an early morning walk, and her husband is accused of murder.",3.529,/mqLbiBYvrFi5LpkE4zL96mZ48ER.jpg,1988-05-15,0,95,['en'],Released,Perry Mason: The Case of the Lady in the Lake,6.8,9,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company', 'Strathmore Productions']","Raymond Burr, Barbara Hale",Ron Satlof,https://image.tmdb.org/t/p/original/mqLbiBYvrFi5LpkE4zL96mZ48ER.jpg
tt0088746,['US'],"['Drama', 'History', 'War']",0,en,The Assisi Underground,This film sheds light on the role of the Catholic Church and the people of Assisi in rescuing Italian Jews from the Nazis in 1943.,1.816,/rfnjBEzLZ09fURliY8mKZC65u1U.jpg,1985-05-03,0,115,['en'],Released,The Assisi Underground,8.0,2,"['Cannon Group', 'Golan-Globus Productions']","Ben Cross, James Mason",Alexander Ramati,https://image.tmdb.org/t/p/original/rfnjBEzLZ09fURliY8mKZC65u1U.jpg
tt0105124,['US'],"['Crime', 'Drama', 'Mystery', 'TV Movie']",0,en,Perry Mason: The Case of the Fatal Framing,"A painter, believed to be dead, returns to make allegations that a gallery owner is selling counterfeits of his work. Later, the artist is murdered.",2.001,/aDU33mahmj8eyXAPZUnBD2bSEpa.jpg,1992-03-01,0,91,['fr'],Released,Perry Mason: The Case of the Fatal Framing,6.4,5,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/aDU33mahmj8eyXAPZUnBD2bSEpa.jpg
tt0098083,['US'],"['Crime', 'Drama', 'Mystery', 'TV Movie']",0,en,Perry Mason: The Case of the Musical Murder,A young theatre director is accused of killing a more famous Broadway director. Perry takes his case.,3.902,/lpL9pAHy9aUTISft4lXm7sGnBhH.jpg,1989-04-09,0,100,['en'],Released,Perry Mason: The Case of the Musical Murder,6.9,7,"['Dean Hargrove Productions', 'Fred Silverman Company', 'Viacom Productions']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/lpL9pAHy9aUTISft4lXm7sGnBhH.jpg
tt0098082,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Lethal Lesson,"Ken Malansky, a law student of Perry Mason's, is accused of murdering a fellow student. Perry is reluctant to take on his case as the victim was the son of a close friend.",3.422,/kL8Jvd4QJteOhFiKzLoTNBy2lyF.jpg,1989-02-12,0,95,['en'],Released,Perry Mason: The Case of the Lethal Lesson,7.1,7,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company', 'Strathmore Productions']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/kL8Jvd4QJteOhFiKzLoTNBy2lyF.jpg
tt0100351,['US'],"['Mystery', 'Drama', 'Crime', 'Thriller', 'TV Movie']",0,en,Perry Mason: The Case of the Poisoned Pen,The chief suspects in the murder of an author are the numerous colleagues whom he continuously plagiarized.,2.439,/xewyXh3hsw5hVQTB75K71EzokQi.jpg,1990-01-21,0,95,['en'],Released,Perry Mason: The Case of the Poisoned Pen,7.2,5,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/xewyXh3hsw5hVQTB75K71EzokQi.jpg
tt0100349,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Defiant Daughter,A young woman from Las Vegas wants Perry Mason to defend her father.,4.24,/4YhDiDCHZ4FOlXqJkt4FTzmKd22.jpg,1990-09-30,0,100,['en'],Released,Perry Mason: The Case of the Defiant Daughter,6.8,5,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/4YhDiDCHZ4FOlXqJkt4FTzmKd22.jpg
tt0098081,['US'],"['Crime', 'Drama', 'Mystery', 'TV Movie']",0,en,Perry Mason: The Case of the All-Star Assassin,A hockey player of friend of Ken Malansky's is accused of murdering a team owner. Perry takes the case.,2.303,/pvTFRwsSiCSONaYlUb8wwZYQ28w.jpg,1989-11-09,0,96,['en'],Released,Perry Mason: The Case of the All-Star Assassin,7.2,6,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/pvTFRwsSiCSONaYlUb8wwZYQ28w.jpg
tt0100350,['US'],"['Mystery', 'Drama', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Desperate Deception,Perry Mason ventures to Paris to defend a U.S. Marine Corps Captain accused of murdering a man suspected of being a Nazi SS Officer.,3.847,/8wbUyxL1Ccw0Nh7J4Qv50YzAbW4.jpg,1990-03-11,0,90,['en'],Released,Perry Mason: The Case of the Desperate Deception,6.8,8,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Raymond Burr, Barbara Hale",Christian I. Nyby II,https://image.tmdb.org/t/p/original/8wbUyxL1Ccw0Nh7J4Qv50YzAbW4.jpg
tt0110813,['US'],"['Drama', 'Mystery', 'Crime', 'TV Movie']",0,en,Perry Mason: The Case of the Lethal Lifestyle,A former associate of Perry Mason returns to handle the defense of a world-class chess player accused of murdering a prominent TV personality.,1.823,/m6bYNkzMfo7NqtJNhl9jq3r9cFT.jpg,1994-05-10,0,120,['en'],Released,Perry Mason: The Case of the Lethal Lifestyle,7.3,6,"['Viacom Productions', 'Dean Hargrove Productions', 'Fred Silverman Company']","Hal Holbrook, Barbara Hale",Helaine Head,https://image.tmdb.org/t/p/original/m6bYNkzMfo7NqtJNhl9jq3r9cFT.jpg
tt0097377,"['HU', 'US']",['Drama'],0,en,Forced March,"Ben Kline is an American television star and a bankable name, who is cast to portray the Hungarian writer Miklos Radnoti, whose journal of poems was found with his body, buried in one of Hungary’s mass graves. Kline is also the son of a Holocaust survivor and has long resented his father’s refusal to speak about the War. Now given the opportunity to play the role of a hero, but faced with the reality of a victim, the boundaries between truth and illusion begin to blur.",1.2,/m7MxEHjDWOol6h7oHF2UZsvs3V3.jpg,1989-11-03,0,100,['en'],Released,Forced March,7.5,2,['Atkins Pictures'],"Chris Sarandon, Chris Sarandon",Rick King,https://image.tmdb.org/t/p/original/m7MxEHjDWOol6h7oHF2UZsvs3V3.jpg
tt0091863,['US'],['Drama'],0,en,Rockabye,"A young woman, striking out on her own after having left her husband in California, has her young son snatched from her moments after getting off the bus in New York City on her way to Vermont, and reluctantly accepts the help of a hard-nosed reporter in tracking him down after being given the runaround from the police.",1.317,/ed1GDaX6PwegOM3tmKKrXd0XFM9.jpg,1986-01-11,0,120,['en'],Released,Rockabye,7.8,4,"['Peregrine Films', 'Roger Gimbel Productions', 'bertinelli productions']","Valerie Bertinelli, Rachel Ticotin",Richard Michaels,https://image.tmdb.org/t/p/original/ed1GDaX6PwegOM3tmKKrXd0XFM9.jpg
tt0114009,['FR'],['Drama'],0,fr,Le Nouveau monde,"A young boy who worships all things American comes of age in Orleans, where over 14,000 American GIs were stationed.",2.026,/nBRRpbNROVOUVVl9jBLqhKB02Rq.jpg,1995-02-22,0,117,"['en', 'fr']",Released,The New World,6.6,8,"['Film Par Film', 'France 3 Cinéma', 'Orly Films', 'Paravision International S.A.', 'Prima Film']","Nicolas Chatel, Sarah Grappin",Alain Corneau,https://image.tmdb.org/t/p/original/nBRRpbNROVOUVVl9jBLqhKB02Rq.jpg
tt0091224,['US'],"['Western', 'Drama', 'History', 'War', 'TV Movie']",0,en,Houston: The Legend of Texas,"Sam Elliot stars as Sam Houston, the visionary who nearly single-handedly forged the state of Texas into a powerful entity in its own right. Refusing to forget the Alamo (as if anyone could), Houston led the military in Texas' rebellion against Mexico. G.D. Spradlin co-stars as President Andrew Jackson, with Michael Beck appearing as Jim Bowie, James Stephens as Stephen Austin, and Richard Yniguez as Mexican General Santa Anna. Lensed on location in the Lone Star state, this sweeping made-for-TV film originally occupied three hours' screen time on November 22, 1986. Its title at that time was Houston: The Legend of Texas. ~ Hal Erickson, Rovi",3.596,/sqOnNiYrnMP6i2nFE7lzjm7zBEJ.jpg,1986-11-22,0,144,['en'],Released,Houston: The Legend of Texas,7.5,6,[],"Sam Elliott, Claudia Christian",Peter Levin,https://image.tmdb.org/t/p/original/sqOnNiYrnMP6i2nFE7lzjm7zBEJ.jpg
tt0074587,['US'],"['Drama', 'TV Movie', 'History']",0,en,The Great Houdinis,"A biography of the renowned escape artist Harry Houdini, examining his fascination with the occult and his promise to his wife on her deathbed that he would speak from the beyond.",0.6,/7upv1jzKyDnG7uzmO43Gg6DuDgb.jpg,1976-10-08,0,96,['en'],Released,The Great Houdinis,6.4,7,['ABC Circle Films'],"Paul Michael Glaser, Sally Struthers",Melville Shavelson,https://image.tmdb.org/t/p/original/7upv1jzKyDnG7uzmO43Gg6DuDgb.jpg
tt0099572,"['US', 'ZA']","['Action', 'Drama']",0,en,The Final Alliance,A drifter and his pet puma stand up against a motorcycle gang in a small American town.,0.807,/tVRBpCWDmr7mw0EhGocJSQlksCE.jpg,1990-06-30,0,90,['en'],Released,The Final Alliance,6.2,6,['International Media Exchange'],"David Hasselhoff, Bo Hopkins",Mario DiLeo,https://image.tmdb.org/t/p/original/tVRBpCWDmr7mw0EhGocJSQlksCE.jpg
tt0082692,['US'],['Drama'],0,en,Macbeth,An adaptation of Shakespeare's play.,1.77,/yfjZ7Ds8WZ6xM1ue1UbctoKo2A6.jpg,1981-01-01,0,132,['en'],Released,Macbeth,6.5,2,['Century Home Video'],"Jeremy Brett, Piper Laurie",Arthur Allan Seidelman,https://image.tmdb.org/t/p/original/yfjZ7Ds8WZ6xM1ue1UbctoKo2A6.jpg
tt0103263,['US'],"['TV Movie', 'Drama']",0,en,Wild Texas Wind,"Wild Texas Wind is an 1991 American made-for-television drama film distributed by Sandollar Productions, directed by Joan Tewkesbury and starring Dolly Parton, Gary Busey, and Ray Benson. Parton co-wrote the story with Mark Kiracofe, as well as multiple songs from the film with Benson.",1.4,/FuBWTHwdO63jd6xYvabGCN62e7.jpg,1991-09-23,0,96,['en'],Released,Wild Texas Wind,8.0,2,['Sandollar Productions'],"Dolly Parton, Gary Busey",Joan Tewkesbury,https://image.tmdb.org/t/p/original/FuBWTHwdO63jd6xYvabGCN62e7.jpg
tt0079307,['US'],"['Action', 'Drama', 'TV Movie']",0,en,Hot Rod,A freewheeling drag racer enters a local championship meet and finds himself head-to-head with the tyrannical town boss who has already arranged for his own son to win.,1.254,/tpZtBZrYTFi605WEpPznqvbpMld.jpg,1979-05-25,0,97,['en'],Released,Hot Rod,6.0,1,['ABC Circle Films'],"Gregg Henry, Pernell Roberts",George Armitage,https://image.tmdb.org/t/p/original/tpZtBZrYTFi605WEpPznqvbpMld.jpg
